상품명,상품설명,중량,생산자명,면세여부,상태
고추장불고기양념,,2kg,,N,상온
레드페퍼,,340g,,Y,상온
딸기잼,,3kg,,N,상온
바닐라아이스크림,,5kg,,N,냉동
체리분말,,538g,,N,상온
야채죽,,285g,,N,상온
쇠고기죽,,285g,,N,상온
전복죽,,285g,,N,상온
밤단팥죽,,285g,,N,상온
나쵸치즈소스,,3kg,,N,상온
게맛살,,270g,,N,냉동
발사믹드레싱,,500g,,N,상온
오렌지주스,,950g,,N,냉장
모카커피,,281g,,N,상온
밀크커피,,281g,,N,상온
핫소스,,4g,,N,상온
월계수,,90g,,N,상온
소시지,,1.08kg,,N,냉장
파마산치즈블렌드,,1kg,,N,상온
알로에주스,,1.5kg,,N,상온
햄캔,,1.81kg,,N,상온
다시마엑기스,,2kg,,N,상온
블루베리레진,,1kg,,N,상온
스퀴드피시소스,,300g,,N,상온
육개장,,600g,,N,냉동
내장탕,,600g,,N,냉동
우거지갈비탕,,600g,,N,냉동
되비지탕,,600g,,N,냉동
설렁탕,,600g,,N,냉동
딸기아이스크림,,5kg,,N,냉동
진한소머리곰탕,,570g,,N,상온
우거지갈비탕,,600g,,N,상온
사발면,,62g,,N,상온
캔커피,,275g,,N,상온
캔커피,,275g,,N,상온
쥬시햄벅스테이크,,960g,,N,냉동
레인보우슈가,,300g,,N,상온
살구잼,,3kg,,N,상온
달팽이캔,,850g,,N,상온
옥수수죽,,400g,,N,상온
갈릭올리브화이트소스,,2kg,,N,냉장
매운올리브칠리소스,,2kg,,N,냉장
복숭아아이스티,,900g,,N,상온
10곡미숫가루,,1kg,,N,상온
햄캔,,1.81kg,,N,상온
머쉬멜로우,,250g,,N,상온
다크초콜릿,,2.5kg,,N,상온
해물알탕,,550g,,N,냉동
휘핑크림,,1kg,,N,냉장
블루베리라떼,,800g,,N,상온
자몽스무디,,1.8kg,,N,상온
부대찌개,,600g,,N,냉동
밀또띠아,,360g,,N,냉동
원두커피,,1kg,,N,상온
초고추장,,100g,,N,상온
초고추장,,1kg,,N,상온
초고추장,,2.2kg,,N,상온
돈까스소스,,60g,,N,상온
화이트초콜릿,,5kg,,N,상온
파마산치즈,,907g,,N,냉장
브리치즈,,125g,,N,냉장
소시지,,350g,,N,냉장
헛개수,,340g,,N,상온
소시지,,825g,,N,냉장
박하사탕,,800g,,N,상온
김치전,,1.3kg,,N,냉동
종합사탕,,800g,,N,상온
바나나맛두유,,140g,,N,상온
달팽이캔,,800g,,N,상온
가위박하사탕,,800g,,N,상온
종합과일사탕,,800g,,N,상온
고르곤졸라치즈,,200g,,N,냉장
얼음,,3kg,,N,냉동
생선까스,,1.2kg,,N,냉동
생선까스,,1.6kg,,N,냉동
동그랑땡,,1kg,,N,냉동
커피믹스,,1.2kg,,N,상온
진간장,,13kg,,N,상온
카레,,220g,,N,상온
사양꿀,,1kg,,Y,상온
사양꿀,,2kg,,Y,상온
뚝배기불고기,,400g,,N,냉동
대두유,,18l,,N,상온
피자치즈DH280,,2.5kg,,N,냉장
블루베리퓨레,,1kg,,N,냉동
휘핑크림,,368g,,N,냉장
오렌지주스,,1.5kg,,N,상온
김밥어묵,,150g,,N,냉장
두유A,,950g,,N,상온
목초액,,500g,,N,상온
아메리칸치즈,,1.36kg,,N,냉장
통등심돈까스,,1.3kg,,N,냉동
통등심돈까스,,800g,,N,냉동
뼈해장국,,600g,,N,냉동
과즙음료,,235g,,N,상온
과즙음료,,235g,,N,상온
과즙음료,,235g,,N,상온
과즙음료,,235g,,N,상온
메밀차,,30g,,N,상온
감자찐만두,,1.5kg,,N,냉동
그뤼에르치즈,,200g,,N,냉장
그물버섯치즈,,140g,,N,냉장
꽃맛살,,2kg,,N,냉장
고염소시지,,454g,,N,냉동
카페라떼,,240g,,N,냉장
아메리카노,,240g,,N,냉장
봉지라면,,625g,,N,상온
구운어묵,,1kg,,N,냉장
후랑크소시지,,500g,,N,냉장
두유,,190g,,N,상온
믹스포션치즈,,140g,,N,냉장
누룽지사탕,,800g,,N,상온
떠먹는요구르트,,85g,,N,냉장
흰우유,,1kg,,Y,냉장
깐풍칠리소스,,1kg,,N,냉장
야채순대,,1kg,,N,냉동
자바칩프리치노,,1kg,,N,상온
그린민트초코칩프리치노,,870g,,N,상온
알떡스테이크,,800g,,N,냉동
카레고로케,,900g,,N,냉동
카레고로케,,1.6kg,,N,냉동
보리차,,240g,,N,상온
블루베리에이드,,2.3kg,,N,냉장
커피,,90g,,N,상온
사시미간장,,1.8kg,,N,상온
치즈베이스,,800g,,N,상온
단호박떡,,1kg,,N,냉동
마가린,,4.5kg,,N,냉장
고추잡채만두,,1.5kg,,N,냉동
멸치액젓,,8kg,,N,상온
보리건빵,,6.5kg,,N,상온
아침에사과주스,,1.5kg,,N,상온
소고기들깨탕,,500g,,N,냉동
오렌지원액,,850g,,N,상온
와사비분말A,,250g,,N,상온
초고버섯캔,,2.8kg,,N,상온
회초장,,13kg,,N,상온
추어탕,,600g,,N,상온
체다치즈,,1.88kg,,N,냉장
키위원액,,850g,,N,상온
타로파우더,,1kg,,N,상온
파마산치즈,,1kg,,N,상온
페퍼민트차,,50g,,N,상온
휘핑크림,,1kg,,N,냉장
흑후추분말,,450g,,Y,상온
초고추장,,40g,,N,상온
겨자소스,,600g,,N,상온
제주감귤주스,,1.5kg,,N,상온
스모크향,,472g,,N,상온
토닉워터,,250g,,N,상온
탄산음료,,355g,,N,상온
탄산음료,,355g,,N,상온
화이트스노우깐쇼새우,,1kg,,N,냉동
밤다이스,,8kg,,N,상온
산초,,500g,,N,상온
망고주스,,200g,,N,상온
오렌지주스,,150g,,N,상온
사과주스,,190g,,N,상온
자몽에이드,,1kg,,N,냉장
피자치즈,,2.5kg,,N,냉장
헛개수,,500g,,N,상온
옥수수차,,300g,,N,상온
꿀호박죽,,285g,,N,상온
햄,,1kg,,N,냉동
넛맥분말,,500g,,N,상온
바닐라라떼파우더,,1.36kg,,N,상온
