상품명,상품설명,중량,생산자명,면세여부,상태
링귀네,,1kg,,N,상온
바닐라익스트랙,,60g,,N,상온
리얼리프아이스티,,325g,,N,상온
리얼리프아이스티,,325g,,N,상온
리얼리프아이스티,,325g,,N,상온
바질시드음료,,290g,,N,상온
바질시드음료,,290g,,N,상온
탄산음료,,275g,,N,상온
크로와상생지,,2.45kg,,N,냉동
컵반,,219g,,N,상온
컵반,,216g,,N,상온
갈릭맛딥핑소스,,2kg,,N,냉장
토핑,,125g,,N,냉장
얼갈이해장국,,1.5kg,,N,냉동
황태해장국,,1.5kg,,N,냉동
쯔유,,1.8kg,,N,상온
고구마라떼파우더,,720g,,N,상온
육포,,45g,,N,상온
그릴불고기피자,,360g,,N,냉동
육포,,30g,,N,상온
크리스피크레커,,150g,,N,상온
초콜릿쿠키,,120g,,N,상온
자바칩파우더,,1kg,,N,상온
휘핑크림,,1kg,,N,냉장
치즈빵,,140g,,N,상온
야마이모가라아게,,1kg,,N,냉동
우엉가라아게,,1kg,,N,냉동
연근가라아게,,500g,,N,냉동
요거트파우더,,1kg,,N,상온
리얼초코36파우더,,500g,,N,상온
매운불맛구이핫바,,90g,,N,냉장
숯불구이맛핫바,,90g,,N,냉장
에낙,,480g,,N,상온
20가지혼합맛젤리,,840g,,N,상온
바나나칩,,60g,,N,상온
보리과자,,400g,,N,상온
볶음밥,,1kg,,N,냉동
토마토주스,,180g,,N,상온
떠먹는요구르트,,80g,,N,냉장
떠먹는요구르트,,80g,,N,냉장
떠먹는요구르트,,80g,,N,냉장
삼벨테라시,,250g,,N,상온
베이컨,,454g,,Y,냉동
더치커피,,1kg,,N,상온
육수베이스,,2kg,,N,냉장
무짠지,,18kg,,N,냉장
구워먹는치즈,,280g,,N,냉장
요구르트,,140g,,N,냉장
초콜릿필링빵,,387g,,N,냉동
딸기필링빵,,387g,,N,냉동
애플필링빵,,387g,,N,냉동
밀크초코바빵,,387g,,N,냉동
팡오쇼콜라,,360g,,N,냉동
버터크로와상,,240g,,N,냉동
마카롱,,921g,,N,냉동
그릴드애플타르트,,750g,,N,냉동
에그타르트플란,,750g,,N,냉동
애플타르트,,1.2kg,,N,냉동
라즈베리타르트,,550g,,N,냉동
오페라,,795g,,N,냉동
크로칸트초콜렛,,800g,,N,냉동
바닐라라즈베리케익,,755g,,N,냉동
벨지움슈가와플,,550g,,N,냉동
붕어간장,,2.25kg,,N,상온
봉어묵,,800g,,N,냉동
유기농주스,,125g,,N,상온
유기농주스,,125g,,N,상온
싱글바,,1.92kg,,N,냉동
블루베리베이스,,1.2kg,,N,냉장
애플망고베이스,,1.2kg,,N,냉장
깔라만시베이스,,1.35kg,,N,냉장
카라멜소스,,1.35kg,,N,상온
초콜릿소스,,1.35kg,,N,상온
화이트초콜릿소스,,1.35kg,,N,상온
와퍼스틱,,120g,,N,상온
그린티믹스,,500g,,N,상온
요구르트,,430g,,N,냉장
해바라기유,,18l,,N,상온
그릴불고기피자,,1.8kg,,N,냉동
청포도베이스,,1.2kg,,N,냉장
그릴포테이토피자,,400g,,N,냉동
생칼국수,,1kg,,N,냉장
참향기름,,1.8l,,N,상온
참향기름,,1.8l,,N,상온
들향기름,,1.8l,,N,상온
요구르트,,130g,,N,냉장
떠먹는요거트,,80g,,N,냉장
그릴디아볼라피자,,300g,,N,냉동
카라멜색소,,2.4kg,,N,상온
자몽주스,,200g,,N,냉장
뮌스터치즈,,681g,,N,냉장
흑당베이스,,1.3kg,,N,상온
후르츠믹스캔디,,810g,,N,상온
새송이떡갈비,,1.15kg,,N,냉동
참맛기름,,1.8l,,N,상온
돼지갈비양념,,2kg,,N,냉장
건포도,,10kg,,N,상온
미니컵,,2.4kg,,N,냉동
미니컵,,2.4kg,,N,냉동
미니컵,,2.4kg,,N,냉동
미니컵,,2.4kg,,N,냉동
호떡만두,,600g,,N,냉동
타피오카펄,,500g,,N,냉동
크로와상플러스렉토엠티큐,,4.8kg,,N,냉동
구미젤리,,50g,,N,상온
미니컵,,2.4kg,,N,냉동
미니프레즐,,2.72kg,,N,상온
올리브,,400g,,N,냉장
올리브,,380g,,N,냉장
올리브유,,5kg,,N,상온
프레쉬펄,,55g,,N,냉장
마스카포네치즈,,500g,,N,냉장
사로코쏘,,25kg,,Y,상온
클라시카,,1kg,,Y,상온
마스카포네치즈,,250g,,N,냉장
프레스카,,25kg,,Y,상온
크리시토,,1kg,,Y,상온
포르마지리조또,,175g,,N,상온
고트치즈,,110g,,N,냉장
그라나파다노치즈,,200g,,N,냉장
더블샷라떼,,6kg,,N,상온
건면,,1kg,,N,상온
냉동두부피,,250g,,N,냉동
푸주,,163g,,N,상온
다시다,,1kg,,N,상온
다시다,,100g,,N,상온
식초,,480g,,N,상온
노천추,,420g,,N,상온
쌀면,,9.5kg,,N,상온
중식당면,,300g,,N,상온
크림치즈,,1.36kg,,N,냉장
위완,,400g,,N,냉동
장위완,,400g,,N,냉동
머위완,,400g,,N,냉동
구채장,,320g,,N,상온
구채장,,2.5kg,,N,상온
쯔마장,,225g,,N,상온
쯔마장,,2.5kg,,N,상온
라임베이스,,1kg,,N,냉장
델리반찬,,90g,,N,냉장
컵반,,261g,,N,상온
컵반,,253g,,N,상온
컵반,,233g,,N,상온
일식돈까스,,1.6kg,,N,냉동
브라운슈가베이스,,2.5kg,,N,상온
체다치즈,,1kg,,N,냉장
쿠킹크림,,1kg,,N,냉장
자두주스,,150g,,N,상온
떠먹는요구르트,,80g,,N,냉장
떠먹는요구르트,,80g,,N,냉장
떠먹는요구르트,,80g,,N,냉장
타카나,,1kg,,N,상온
토마토스파게티소스,,500g,,N,상온
크림스파게티소스,,500g,,N,상온
돈까스소스,,1kg,,N,냉장
마시는고단백멀티비타민,,2.5kg,,N,상온
흰우유,,900g,,Y,냉장
사이즈업아메리카노,,350g,,N,냉장
사이즈업스위트아메리카노,,350g,,N,냉장
즉석블랙타피오카펄,,300g,,N,냉동
수박주스,,1kg,,N,냉동
유기농곡물무슬리,,325g,,N,상온
유기농곡물베렌무슬리,,325g,,N,상온
오렌지베이스,,1.2kg,,N,냉장
자몽베이스,,1.2kg,,N,냉장
화초유,,380g,,N,상온
마라소스,,1kg,,N,상온
두반장,,1kg,,N,상온
훠궈소스,,100g,,N,상온
커피믹스,,2.18kg,,N,상온
스파게티,,500g,,N,상온
냉면비빔장,,2kg,,N,냉동
간장,,900g,,N,상온
고추장,,1kg,,N,상온
된장,,2kg,,N,상온
된장,,950g,,N,상온
국수,,400g,,N,상온
토피넥카라멜와플,,960g,,N,상온
복숭아아이스티,,190g,,N,상온
도라에몽달콤슈크림만쥬,,1kg,,N,냉동
도라에몽의암기빵,,1kg,,N,냉동
요구르트,,135g,,N,냉장
찰치즈볼생지,,1.8kg,,N,냉동
무염버터,,10kg,,N,냉동
건강담은야채과일주스,,145g,,N,상온
블루베리농축액,,1kg,,N,냉장
메이플시럽,,700ml,,N,상온
오렌지마멀레이드,,450g,,N,상온
딸기잼,,450g,,N,상온
라즈베리잼,,450g,,N,상온
살구잼,,450g,,N,상온
원두커피,,1kg,,N,상온
아메리카노,,1.9kg,,N,상온
헤이즐넛향,,1.9kg,,N,상온
카페메이커,,500g,,N,상온
스트링치즈,,180g,,N,냉장
흑임자드레싱,,2kg,,N,냉장
쇠고기야채죽,,220g,,N,냉동
삼계죽,,220g,,N,냉동
전복죽,,220g,,N,냉동
호박죽,,300g,,N,냉동
오렌지착즙주스,,200g,,N,상온
애플착즙주스,,200g,,N,상온
트로피칼착즙주스,,200g,,N,상온
스위트칠리소스,,6kg,,N,상온
컵반,,217g,,N,상온
이지마요,,1kg,,N,냉장
중식당면,,180g,,N,상온
훠궈소스,,100g,,N,상온
콜비잭치즈,,681g,,N,냉장
우리쌀링,,1kg,,N,상온
사과푸딩,,75g,,N,상온
오렌지푸딩,,75g,,N,상온
포도푸딩,,75g,,N,상온
보틀선식,,50g,,N,상온
보틀선식,,50g,,N,상온
보틀선식,,50g,,N,상온
보틀선식,,50g,,N,상온
미극선간장,,500g,,N,상온
타이난도삭면,,400g,,N,상온
라조장,,280g,,N,상온
빙탕설리,,500g,,N,상온
건목이버섯,,1kg,,Y,상온
납작녹두당면,,180g,,N,상온
빙홍차,,500g,,N,상온
차파이우롱차,,500g,,N,상온
마유,,400g,,N,상온
건백목이버섯,,1kg,,Y,상온
사과식초,,946g,,N,상온
황설탕,,1kg,,N,상온
황설탕,,5kg,,N,상온
황설탕,,400g,,N,상온
황설탕,,2kg,,N,상온
밝은갈색설탕,,1kg,,N,상온
밝은갈색설탕,,400g,,N,상온
사과식초,,473g,,N,상온
머스타드,,255g,,N,상온
머스타드,,255g,,N,상온
원더베리,,250g,,N,냉장
요구르트,,130g,,N,냉장
요구르트,,130g,,N,냉장
요구르트,,130g,,N,냉장
토핑,,120g,,N,냉장
블랙스위트소이소스,,400g,,N,상온
삼발아슬리소스,,320g,,N,상온
매쉬드포테이토함박스테이크,,1kg,,N,냉동
숙주나물,,3.5kg,,Y,냉장
숙주나물,,3.5kg,,Y,냉장
어묵,,1kg,,N,냉동
피치초코칩빵,,225g,,N,냉동
찹쌀탕수육,,1kg,,N,냉동
체리분말,,700g,,N,상온
아지츠케멘마,,1kg,,N,상온
ADE,,140g,,N,상온
콤부차,,315g,,N,상온
콤부차,,315g,,N,상온
찹쌀과자,,300g,,N,상온
초코칩싱글쿠키,,500g,,N,상온
초콜릿칩미니쿠키,,50g,,N,상온
초코크림샌드위치쿠키,,100g,,N,상온
초코크림샌드위치쿠키,,300g,,N,상온
크리스피크레페,,78g,,N,상온
파이쿠키위드모찌,,80g,,N,상온
파이쿠키위드모찌,,80g,,N,상온
망고구미젤리,,100g,,N,상온
복숭아구미젤리,,100g,,N,상온
밀크캔디,,80g,,N,상온
초콜릿밀크캔디,,80g,,N,상온
모짜렐라치즈,,453g,,N,냉장
그린티라떼파우더,,500g,,N,상온
산초,,500g,,N,상온
산초,,500g,,N,상온
건두부,,5kg,,N,상온
옥수수면,,2.5kg,,N,상온
녹두실당면,,200g,,N,상온
수정당면,,350g,,N,상온
코코넛음료,,245g,,N,상온
초코도넛,,900g,,N,냉동
라즈베리도넛,,900g,,N,냉동
애플도넛,,900g,,N,냉동
노르망디타르트,,750g,,N,냉동
초코타르트,,800g,,N,냉동
잉글리시브랙퍼스트,,50g,,N,상온
숙주나물,,1kg,,Y,냉장
김치전,,1kg,,N,냉동
해물파전,,1kg,,N,냉동
완두콩캔,,480g,,N,상온
크리스피쌀핫도그,,80g,,N,냉동
흑임자파우더,,500g,,N,상온
솔티드밀크,,800g,,N,상온
백김치,,10kg,,Y,냉장
총각김치,,10kg,,Y,냉장
콩나물,,300g,,Y,냉장
콩나물,,1kg,,Y,냉장
숙주나물,,300g,,Y,냉장
숙주나물,,1kg,,Y,냉장
훠궈소스,,160g,,N,상온
파이크플레이스로스트블랙,,275g,,N,상온
옥수수면,,400g,,N,상온
통오징어바이트튀김,,800g,,N,냉동
자몽에꿀한스푼,,240g,,N,상온
세상에없는루이보스,,240g,,N,상온
세상에없는캐모마일,,240g,,N,상온
소다밴드,,250g,,N,상온
소다밴드,,250g,,N,상온
오징어스테이크튀김,,600g,,N,냉동
오징어스테이크튀김,,800g,,N,냉동
나비오징어꼬치,,700g,,N,냉동
푸주,,500g,,N,상온
복숭아아이스티,,1kg,,N,상온
초생강채,,1.3kg,,N,상온
시애틀라떼,,200g,,N,냉장
줄약과,,300g,,N,상온
바삭튀겨낸꼬마돈까스,,450g,,N,냉동
달고나,,600g,,N,상온
화이트펄,,1kg,,N,상온
모듬돼지내장,,2kg,,N,냉동
떠먹는요거트,,80g,,N,냉장
떠먹는요거트,,80g,,N,냉장
자두스무디,,1.8kg,,N,상온
요거젤리,,90g,,N,냉장
요거젤리,,90g,,N,냉장
요거젤리,,90g,,N,냉장
요거젤리,,90g,,N,냉장
사과주스,,750g,,N,냉장
오렌지주스,,750g,,N,냉장
야채치즈고로케,,960g,,N,냉동
더블치즈폼파우더,,800g,,N,상온
빅핫도그,,130g,,N,냉동
베다체다롤베이크,,110g,,N,냉동
오리지널부대찌개,,500g,,N,냉동
베다체다롤베이크,,550g,,N,냉동
오리지널부대찌개,,965g,,N,냉동
반반핫도그,,80g,,N,냉동
먹물쌀핫도그,,80g,,N,냉동
폭립,,2kg,,N,냉동
폴리시소시지,,1.08kg,,N,냉동
스킨리스스모크소시지,,1.814kg,,N,냉동
양파기름,,1.8l,,N,상온
대파기름,,1.8l,,N,상온
마늘기름,,1.8l,,N,상온
고추매운대파기름,,1.8l,,N,상온
고추매운마늘기름,,1.8l,,N,상온
고추매운양파기름,,1.8l,,N,상온
화이트캐슬버터쿠키,,114g,,N,상온
흰살생선까스,,1.2kg,,N,냉동
로스티드베이컨,,2.72kg,,N,냉장
요거트파우더,,1kg,,N,상온
불막창볶음,,250g,,N,냉동
곱창볶음,,250g,,N,냉동
돼지껍데기,,250g,,N,냉동
화덕돈불고기,,1kg,,N,냉동
트리플치즈미트볼,,1kg,,N,냉동
통살오징어튀김세트,,1kg,,N,냉동
물결파우더,,5kg,,N,상온
직화구이햄,,700g,,N,냉장
리얼코코아볼,,300g,,N,상온
스위트칠리소스,,3kg,,N,상온
요구르트,,120g,,N,냉장
탄산수,,330g,,N,상온
탄산수,,330g,,N,상온
사과탄산음료,,330g,,N,상온
스파게티,,1kg,,N,상온
샌드위치햄,,90g,,N,냉장
그릴비엔나,,320g,,N,냉장
그릴비엔나,,120g,,N,냉장
통삼겹스테이크,,340g,,N,냉장
민트초코프라페믹스,,1kg,,N,상온
병천식순대국세트,,5kg,,N,냉동
부신식돼지국밥세트,,3kg,,N,냉동
멀티캔디,,75g,,N,상온
막대사탕,,125g,,N,상온
막대사탕,,40g,,N,상온
막대사탕,,40g,,N,상온
막대사탕,,40g,,N,상온
막대사탕,,40g,,N,상온
소프트푸룻젤리,,100g,,N,상온
비바바첸곰젤리,,100g,,N,상온
요거트젤리,,100g,,N,상온
아보카도오일,,250g,,N,상온
밀크초콜릿,,20g,,N,상온
버터,,500g,,N,냉동
가염버터,,250g,,N,냉장
버터,,250g,,N,냉장
포션버터,,25g,,N,냉장
포션버터,,25g,,N,냉장
컵반,,250g,,N,상온
그라나파다노치즈,,1kg,,N,냉장
컵반,,250g,,N,상온
그라나파다노치즈,,150g,,N,냉장
모짜렐라치즈,,400g,,N,냉장
뮌스터치즈,,170g,,N,냉장
요거트소스,,2.56kg,,N,냉장
조잘조잘양념오돌뼈,,300g,,N,냉동
꽁알꽁알숯불무뼈닭발,,280g,,N,냉동
귀리음료,,1kg,,N,상온
현미음료,,1kg,,N,상온
쌀코코넛음료,,1kg,,N,상온
쌀코코아퀴노아음료,,1kg,,N,상온
쌀헤이즐넛음료,,1kg,,N,상온
캐슈코코넛음료,,1kg,,N,상온
사과주스,,125g,,N,상온
오렌지감귤주스,,125g,,N,상온
트로피칼펀치주스,,125g,,N,상온
포도주스,,125g,,N,상온
굵은숙주나물,,3.5kg,,Y,냉장
다크초콜릿,,2.5kg,,N,상온
고구마튀김,,1kg,,N,냉동
망고주스,,1.5kg,,N,상온
요거상큼복숭아,,340g,,N,상온
요거풋풋사과,,340g,,N,상온
마카로니과자,,3kg,,N,상온
프리미엄,,750g,,N,상온
오리지널후랑크,,80g,,N,냉장
떠먹는요거트,,200g,,N,냉장
땅콩카라멜파우더,,500g,,N,상온
블루멜로우차,,25g,,N,상온
블랙푸레이크,,300g,,N,상온
후레쉬업망고파우더,,800g,,N,상온
후레쉬업수박파우더,,800g,,N,상온
후레쉬업청포도파우더,,800g,,N,상온
나물동그랑땡,,1kg,,N,냉동
왕교자만두,,1kg,,N,냉동
우리밀왕만두,,1kg,,N,냉동
즉석밥,,1.6kg,,N,상온
무말랭이무침,,4kg,,N,냉장
깻잎무침,,4kg,,N,냉장
콩자반,,4kg,,N,냉장
땅콩조림,,4kg,,N,냉장
꽃빵,,900g,,N,냉동
우리콩간장,,900g,,N,상온
콩콩이두유,,135g,,N,상온
무농약제주감귤,,980g,,N,상온
진케찹,,1kg,,N,상온
돈까스소스,,1kg,,N,냉동
마요네즈,,1kg,,N,냉장
마요네즈,,240g,,N,냉장
습식빵가루,,1kg,,N,냉동
한입달콤호떡,,1kg,,N,냉동
잔트커런츠레이즌,,1kg,,N,상온
굴소스,,240g,,N,냉장
어간장,,1.8kg,,N,냉장
콜드브루원액,,1kg,,N,상온
포션버터,,10g,,N,냉장
우리밀우동면,,1.15kg,,N,냉동
우리밀짜장면,,1.15kg,,N,냉동
파에테포요틴,,2.5kg,,N,상온
우리밀삼색수제비,,1kg,,N,냉동
우리밀한입쫄면,,1kg,,N,냉동
마시는요거트,,140g,,N,냉장
플라이쉬소시지,,350g,,N,냉장
그릴소시지,,350g,,N,냉장
모듬파이브소시지,,340g,,N,냉장
고소한미숫가루두유,,190g,,N,상온
마시는요거트,,140g,,N,냉장
씨드믹스K,,5kg,,N,상온
스파게티니,,1kg,,N,상온
링귀네,,1kg,,N,상온
푸실리,,1kg,,N,상온
파케리,,500g,,N,상온
라자냐,,500g,,N,상온
고기동그랑땡,,300g,,N,냉동
네모당면,,300g,,N,상온
마시는요거트,,130g,,N,냉장
햄,,4.34kg,,N,냉동
마시는요거트,,210g,,N,냉장
마시는요거트,,210g,,N,냉장
쌀과자,,270g,,N,상온
식초,,1kg,,N,냉장
제티초콕,,72g,,N,상온
얼려먹는요구르트,,120g,,N,냉장
얼려먹는요구르트,,120g,,N,냉장
별미핫도그,,325g,,N,냉동
도시락,,256g,,N,냉동
매콤피자맛소시지,,1kg,,N,냉동
황물엿,,1.2kg,,N,상온
수박착즙주스,,1kg,,N,냉동
위앤장마시는요거트,,130g,,N,냉장
콜라겐마시는요거트,,130g,,N,냉장
아스파라거스,,1kg,,Y,냉장
적무순새싹,,500g,,Y,냉장
라디치오,,300g,,Y,냉장
혼합새싹,,50g,,Y,냉장
프리세,,100g,,Y,냉장
통새우,,1.3kg,,Y,냉동
절단낙지,,500g,,Y,냉동
통새우,,1.3kg,,Y,냉동
통새우,,500g,,Y,냉동
통새우,,1.3kg,,Y,냉동
통새우,,1.3kg,,Y,냉동
통새우,,1.3kg,,Y,냉동
갑오징어채,,500g,,Y,냉동
초갑오징어,,120g,,Y,냉동
통새우,,500g,,Y,냉동
다시팩,,1kg,,N,상온
통새우,,1.3kg,,Y,냉동
자숙통새우,,5kg,,Y,냉동
초학꽁치,,120g,,Y,냉동
노란해파리,,10kg,,Y,냉장
새우,,500g,,Y,냉동
통새우,,500g,,Y,냉동
참치,,750g,,Y,냉동
파래가루,,50g,,Y,상온
북어,,1kg,,Y,냉장
